fpr,tpr
0.0,0.0
0.0,0.0002337540906965872
0.0,0.0009350163627863488
0.0003083564600678384,0.0009350163627863488
0.0003083564600678384,0.0023375409069658717
0.0012334258402713536,0.0023375409069658717
0.0012334258402713536,0.002805049088359046
0.001541782300339192,0.002805049088359046
0.001541782300339192,0.0030388031790556337
0.0018501387604070306,0.0030388031790556337
0.0018501387604070306,0.007713884992987377
0.002158495220474869,0.007713884992987377
0.002158495220474869,0.008882655446470314
0.002466851680542707,0.008882655446470314
0.002466851680542707,0.010518934081346423
0.003083564600678384,0.010518934081346423
0.003083564600678384,0.010752688172043012
0.0033919210607462227,0.010752688172043012
0.0033919210607462227,0.012155212716222535
0.004008633980881899,0.012155212716222535
0.004008633980881899,0.013557737260402058
0.004933703361085414,0.013557737260402058
0.004933703361085414,0.014492753623188406
0.005242059821153253,0.014492753623188406
0.005242059821153253,0.015194015895278168
0.005550416281221091,0.015194015895278168
0.005550416281221091,0.01659654043945769
0.00585877274128893,0.01659654043945769
0.00585877274128893,0.017064048620850866
0.006167129201356768,0.017064048620850866
0.006167129201356768,0.017765310892940627
0.0070921985815602835,0.017765310892940627
0.0070921985815602835,0.020570359981299673
0.0077089115016959605,0.020570359981299673
0.0077089115016959605,0.020804114071996258
0.008017267961763799,0.020804114071996258
0.008017267961763799,0.021739130434782608
0.008633980881899476,0.021739130434782608
0.008633980881899476,0.032024310425432446
0.008942337341967314,0.032024310425432446
0.008942337341967314,0.032491818606825616
0.009250693802035153,0.032491818606825616
0.009250693802035153,0.03295932678821879
0.009559050262102992,0.03295932678821879
0.009559050262102992,0.03342683496961197
0.009867406722170829,0.03342683496961197
0.009867406722170829,0.0345956054230949
0.010175763182238668,0.0345956054230949
0.010175763182238668,0.03506311360448808
0.010484119642306507,0.03506311360448808
0.010484119642306507,0.03529686769518466
0.010792476102374344,0.03529686769518466
0.010792476102374344,0.035998129967274424
0.011100832562442183,0.035998129967274424
0.011100832562442183,0.036699392239364186
0.011409189022510022,0.036699392239364186
0.011409189022510022,0.03716690042075736
0.01171754548257786,0.03716690042075736
0.01171754548257786,0.03810191678354371
0.012025901942645698,0.03810191678354371
0.012025901942645698,0.03903693314633006
0.012334258402713537,0.03903693314633006
0.012334258402713537,0.03927068723702665
0.012950971322849213,0.03927068723702665
0.012950971322849213,0.03950444132772323
0.013259327782917052,0.03950444132772323
0.013259327782917052,0.03997194950911641
0.013567684242984891,0.03997194950911641
0.013567684242984891,0.040906965871902755
0.013876040703052728,0.040906965871902755
0.013876040703052728,0.04114071996259935
0.014184397163120567,0.04114071996259935
0.014184397163120567,0.042776998597475455
0.014801110083256245,0.042776998597475455
0.014801110083256245,0.04324450677886863
0.015109466543324082,0.04324450677886863
0.015109466543324082,0.043478260869565216
0.01572617946345976,0.043478260869565216
0.01572617946345976,0.045348293595137916
0.016034535923527597,0.045348293595137916
0.016034535923527597,0.0455820476858345
0.016342892383595438,0.0455820476858345
0.016342892383595438,0.046984572230014024
0.016959605303731112,0.046984572230014024
0.016959605303731112,0.04815334268349696
0.017267961763798953,0.04815334268349696
0.017267961763798953,0.04908835904628331
0.01757631822386679,0.04908835904628331
0.01757631822386679,0.05165965404394577
0.017884674683934627,0.05165965404394577
0.017884674683934627,0.051893408134642355
0.018193031144002468,0.051893408134642355
0.018193031144002468,0.05352968676951847
0.018501387604070305,0.05352968676951847
0.018501387604070305,0.053763440860215055
0.019118100524205983,0.053763440860215055
0.019118100524205983,0.05516596540439458
0.01942645698427382,0.05516596540439458
0.01942645698427382,0.05539971949509116
0.019734813444341658,0.05539971949509116
0.019734813444341658,0.05586722767648434
0.020043169904409498,0.05586722767648434
0.020043169904409498,0.056100981767180924
0.020351526364477335,0.056100981767180924
0.020351526364477335,0.0565684899485741
0.020659882824545173,0.0565684899485741
0.020659882824545173,0.059841047218326324
0.020968239284613013,0.059841047218326324
0.020968239284613013,0.06194483403459561
0.021584952204748688,0.06194483403459561
0.021584952204748688,0.06217858812529219
0.02189330866481653,0.06217858812529219
0.02189330866481653,0.06241234221598878
0.022201665124884366,0.06241234221598878
0.022201665124884366,0.06287985039738195
0.022510021584952206,0.06287985039738195
0.022510021584952206,0.06311360448807854
0.022818378045020044,0.06311360448807854
0.022818378045020044,0.06334735857877513
0.02312673450508788,0.06334735857877513
0.02312673450508788,0.06661991584852735
0.024051803885291396,0.06661991584852735
0.024051803885291396,0.06685366993922394
0.024360160345359236,0.06685366993922394
0.024360160345359236,0.06778868630201028
0.02528522972556275,0.06778868630201028
0.02528522972556275,0.06872370266479663
0.02559358618563059,0.06872370266479663
0.02559358618563059,0.0691912108461898
0.025901942645698426,0.0691912108461898
0.025901942645698426,0.0694249649368864
0.026210299105766267,0.0694249649368864
0.026210299105766267,0.07106124357176251
0.02682701202590194,0.07106124357176251
0.02682701202590194,0.07223001402524544
0.027135368485969782,0.07223001402524544
0.027135368485969782,0.07269752220663861
0.027752081406105456,0.07269752220663861
0.027752081406105456,0.07433380084151472
0.028060437866173297,0.07433380084151472
0.028060437866173297,0.07503506311360449
0.028677150786308975,0.07503506311360449
0.028677150786308975,0.0766713417484806
0.028985507246376812,0.0766713417484806
0.028985507246376812,0.07690509583917718
0.02960222016651249,0.07690509583917718
0.02960222016651249,0.07994389901823282
0.029910576626580327,0.07994389901823282
0.029910576626580327,0.08251519401589527
0.030218933086648164,0.08251519401589527
0.030218933086648164,0.08391771856007481
0.030527289546716005,0.08391771856007481
0.030527289546716005,0.08438522674146798
0.030835646006783842,0.08438522674146798
0.030835646006783842,0.08461898083216457
0.03145235892691952,0.08461898083216457
0.03145235892691952,0.08532024310425433
0.03176071538698736,0.08532024310425433
0.03176071538698736,0.08648901355773726
0.032069071847055194,0.08648901355773726
0.032069071847055194,0.08742402992052362
0.032377428307123035,0.08742402992052362
0.032377428307123035,0.0876577840112202
0.032685784767190876,0.0876577840112202
0.032685784767190876,0.08812529219261338
0.03299414122725871,0.08812529219261338
0.03299414122725871,0.0895278167367929
0.03330249768732655,0.0895278167367929
0.03330249768732655,0.08976157082748948
0.03361085414739439,0.08976157082748948
0.03361085414739439,0.0913978494623656
0.033919210607462225,0.0913978494623656
0.033919210607462225,0.09163160355306219
0.034227567067530065,0.09163160355306219
0.034227567067530065,0.09256661991584852
0.034535923527597906,0.09256661991584852
0.034535923527597906,0.09280037400654512
0.03484427998766574,0.09280037400654512
0.03484427998766574,0.09303412809724171
0.03515263644773358,0.09303412809724171
0.03515263644773358,0.09396914446002805
