SD ResponseTimestamp,RecordedAtTime,AVL data set name BODS,AVL data set ID BODS,DatedVehicleJourneyRef in SIRI,VehicleRef in SIRI,Timetable file name,Timetable data set ID BODS,DepartureTime in TXC,OriginRef in SIRI,StopPointRef in TxC,SIRI XML line number,TransXChange XML line number,Error note,StopPointRef in TXC
2026-07-11T20:12:18.024000+00:00,2026-07-11T19:59:58+00:00,Go-Ahead_7996_20220505 13:27:53,7996,5140,80709,OXBC_400_OXBCPH000572741400_20260503_-_2350512.xml,17163,19:35:00,340000749OPP,-,1,6374,OriginRef does not match first StopPointRef in timetable,340000006R6
2026-07-12T19:22:57.545000+00:00,2026-07-12T19:22:42+00:00,Go-Ahead_7996_20220505 13:27:53,7996,3101,80620,CSLB_102_CSLBPF100067113102_20260621_-_2378566.xml,17163,17:45:00,4900801619,-,1,7605,OriginRef does not match first StopPointRef in timetable,040000000441
2026-07-13T19:36:41.594000+00:00,2026-07-13T05:17:52+00:00,Go-Ahead_7996_20220505 13:27:53,7996,4002,80001,PULH_801_PULHPH00001538801_20260503_-_2356330.xml,17163,06:25:00,1600GLA06133,-,1,12273,OriginRef does not match first StopPointRef in timetable,160000214
2026-07-14T20:43:29.894000+00:00,2026-07-14T19:36:47+00:00,Go-Ahead_7996_20220505 13:27:53,7996,4104,80908,THTR_X35_THTRPH0007184112X35_20260222_-_2310372.xml,17163,18:10:00,340001385SOU,-,1,25001,OriginRef does not match first StopPointRef in timetable,340002019OUT
